,ASIN,Brand,SoldBy,MerchantID,country_merchant_octo,country_product_octo
0,B083G13CBK,STARDUST FILTER,HOSI COMPANY,A0119796APOSTRWDPYE6,KR,
1,B08BLLN2P5,xcivi,Xcivi,A038338732HYPKP7IJ7WB,CN,
2,B08TLV4LSS,LUK UN JUN,LUK UN JUN,A1007A8AZY9GGN,CN,
3,B08Z7P5MQJ,KZWUS,SHI ZHI PING,A100QQQVI890BY,CN,
4,B0787CTTJR,VViViD,VViViD Vinyl,A10111992WJRYRFBZH9IS,CA,
5,B076QLTJCZ,Chefman,Bask by Blu,A102LMUWN17KXG,US,
6,B088HJCCSQ,Zylione,ZYLONE,A102SN2OZU6M4V,CN,
7,B07867NZV9,Bluedrop,Bluedrop,A1057FBD44ECMO,CN,
8,B08VDRRGM3,FLTOP,FLTOP,A105I9GWG58G8L,CN,
9,B00HPQKB24,Computer Security Products,5 Star North,A105JXUTQJ82QI,US,
10,B08G1RFQN3,PPINA,"Xiamen Xincheng Composites Technology Co.,Ltd",A1072BIXHVLJVD,an,
11,B07NDP7WRV,Raven,LOBO JACK,A10765CPACW7B5,US,
12,B08T1N99KJ,Saffire,LOBO JACK,A10765CPACW7B5,US,
13,B07PBDMG4D,isinlive,littlenature,A107SA7XAB87XV,an,
14,B08B38R79P,Jin&Bao,Jin&BaoDirect,A10830G9S6YR0N,an,
15,B08V8X8PHP,AIRSEE,Namutso,A1098W8NJWIO6F,an,
16,B06VWHFQH6,Eleganceinlife,Eleganceinlife,A10A46S4DFOP5G,an,
17,B085T1FZ59,NATRUTH,NATRUTH-US,A10AH28NHSMO40,an,
18,B085NMFCQT,ZKG,Bluesky1990,A10AW5IR1S3WJ4,an,
19,B08P72HX5D,La Cuisine for life,La Cuisine US,A10BCHSMFM8WZS,an,
20,B08YZ7KZXB,OIGOT,OIGOT LLC,A10E6Z496T2FL8,an,
21,B0833PZ73X,HausRoland,Riwendell,A10ER2Y88G3DW,an,
22,B077KRTJNQ,Riwendell,Riwendell,A10ER2Y88G3DW,an,
23,B08B3BJC54,FOOD SHIELD,Genetech.Japan,A10GXDAQ1K6Z8Q,an,
24,B08Z3NVZ16,AODINI,Mai jili,A10J1FL3W1CPU2,,
25,B002WB12WK,finum,TJ Originals,A10JA2HNHZPYXU,,
26,B078HH3BGB,Mainstay,AME Supply Co,A10JBMESOGWV2J,,
27,B08YN4VJNJ,changle,Coemin,A10JKL2GY9LQFZ,CN,
28,B08ZXHC7L8,KitchenBoss,KitchenBoss,A10KT5RNOXHXVF,CN,
29,B08CNB7NPC,YPPAHEB,FKZ Store,A10M6PK1PFW0TM,CN,
30,B088BHLLLM,Outus,JanGeo,A10N931BGVXTX2,CN,
31,B08CKJ541V,Sikawai,Hope direct,A10NKHTJKIO9MU,CN,
32,B07QBH4LCN,QTECLOR,QTECLOR,A10PUJO1RB95O8,US,
33,B01FSBQ87Y,Blendin,WebStoreUSA,A10PWLJ9E7OUNM,US,
34,B07BNG2V7J,AQUA BLUE,PURE WATER SUPPLY,A10QFEWSE2NFXI,US,
35,B001ANXOKE,3M,B & M Housewares,A10R9R1S9XRJ3M,US,
36,B001ANXOKE,3M,B & M Housewares,A10R9R1S9XRJ3M,an,
37,B00L4KGAXG,Bissell,B & M Housewares,A10R9R1S9XRJ3M,US,
38,B00L4KGAXG,Bissell,B & M Housewares,A10R9R1S9XRJ3M,an,
39,B005V9ROKY,Carpet Pro,B & M Housewares,A10R9R1S9XRJ3M,US,
40,B005V9ROKY,Carpet Pro,B & M Housewares,A10R9R1S9XRJ3M,an,
